cmaddr,width,height,size,stride,min_cycles,max_cycles,mem_access_total,bw,scale_bw,flop_total,flops_sec,scale_flops_sec,walltime
,1,1,256,1,76,76,1536.0,1.7178947368421054e-05,12.806905263157896,256,2.8631578947368423e-06,2.134484210526316,0.903721809387207
,1,1,512,1,140,140,3072.0,1.8651428571428574e-05,13.904640000000002,512,3.1085714285714286e-06,2.31744,1.4303760528564453
,1,1,768,1,204,204,4608.0,1.92e-05,14.3136,768,3.2000000000000003e-06,2.3856,2.146897554397583
,1,1,1024,1,268,268,6144.0,1.9486567164179102e-05,14.527235820895521,1024,3.247761194029851e-06,2.421205970149254,2.6141250133514404
,1,1,1280,1,332,332,7680.0,1.9662650602409636e-05,14.658506024096384,1280,3.2771084337349395e-06,2.4430843373493976,3.192211151123047
,1,1,1536,1,396,396,9216.0,1.978181818181818e-05,14.747345454545453,1536,3.296969696969697e-06,2.457890909090909,3.9550650119781494
,1,1,1792,1,460,460,10752.0,1.9867826086956525e-05,14.811464347826089,1792,3.311304347826087e-06,2.468577391304348,4.592634439468384
,1,1,2048,1,524,524,12288.0,1.993282442748092e-05,14.859920610687025,2048,3.322137404580153e-06,2.4766534351145038,5.1035449504852295
,1,1,2304,1,588,588,13824.0,1.9983673469387756e-05,14.897828571428573,2304,3.3306122448979594e-06,2.4829714285714286,5.731757640838623
,1,1,2560,1,652,652,15360.0,2.0024539877300614e-05,14.928294478527608,2560,3.3374233128834358e-06,2.4880490797546013,6.495946407318115
,1,1,2816,1,716,716,16896.0,2.005810055865922e-05,14.953313966480447,2816,3.3430167597765364e-06,2.492218994413408,6.827347278594971
,1,1,3072,1,780,780,18432.0,2.0086153846153848e-05,14.974227692307693,3072,3.3476923076923074e-06,2.495704615384615,7.6355085372924805
,1,1,3328,1,844,844,19968.0,2.0109952606635074e-05,14.991969668246448,3328,3.351658767772512e-06,2.498661611374408,8.283248662948608
,1,1,3584,1,908,908,21504.0,2.0130396475770924e-05,15.007210572687224,3584,3.3550660792951543e-06,2.5012017621145377,8.870195150375366
,1,1,3840,1,972,972,23040.0,2.0148148148148152e-05,15.020444444444447,3840,3.358024691358025e-06,2.5034074074074075,9.304388284683228
,1,1,4096,1,1036,1036,24576.0,2.0163706563706563e-05,15.032043243243242,4096,3.3606177606177607e-06,2.5053405405405407,10.12302565574646
