PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,279502158555019,279502158556512,1493,0.29149363697253855,0.17146684527796383
1,1,1,1280,2.56,1280,2.56,279584705471160,279584705477311,6151,0.3537636156722484,0.2080962445130873
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,279667265879634,279667265889658,10024,0.3907422186751796,0.2298483639265762
1,1,1,3328,6.656000000000001,3328,6.656000000000001,279749883162831,279749883176647,13816,0.4094962362478286,0.24088013896931093
1,1,1,4352,8.704,4352,8.704,279832471949272,279832471966879,17607,0.4201965127506106,0.24717441926506503
1,1,1,5376,10.752,5376,10.752,279914961955733,279914961977136,21403,0.4270055599682288,0.25117974115778163
1,1,1,6400,12.8,6400,12.8,279997396020705,279997396045891,25186,0.43198602398157704,0.2541094258715159
1,1,1,7424,14.848,7424,14.848,280080079032571,280080079061547,28976,0.435560463832137,0.25621203754831584
1,1,1,8448,16.896,8448,16.896,280162743802420,280162743835204,32784,0.4380673499267936,0.25768667642752563
1,1,1,9472,18.944,9472,18.944,280245441897837,280245441934409,36572,0.4402931204199934,0.25899595318823143
