PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,63239829525014,63239830528794,1003780,0.000433561138894977,0.0002550359640558688
1,1,1,1280,2.56,1280,2.56,63322365784454,63322370549657,4765203,0.00045664371486377393,0.000268613949919867
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,63404725188551,63404733713294,8524743,0.0004594625315977268,0.0002702720774104275
1,1,1,3328,6.656000000000001,3328,6.656000000000001,63487236169888,63487248454684,12284796,0.00046053674802577104,0.0002709039694269241
1,1,1,4352,8.704,4352,8.704,63569716473745,63569732518494,16044749,0.00046111036077909354,0.0002712413886935844
1,1,1,5376,10.752,5376,10.752,63652202315890,63652222120620,19804730,0.000461465518590761,0.00027145030505338876
1,1,1,6400,12.8,6400,12.8,63734747598956,63734771163681,23564725,0.0004617070642666104,0.0002715923907450649
1,1,1,7424,14.848,7424,14.848,63817349955948,63817377280670,27324722,0.00046188210075842677,0.00027169535338730983
1,1,1,8448,16.896,8448,16.896,63899874274120,63899905358832,31084712,0.0004620148965832465,0.00027177346857838025
1,1,1,9472,18.944,9472,18.944,63982475276771,63982510121474,34844703,0.00046211901992678774,0.00027183471760399276
