PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
300,300,1,256,0.512,256,0.512,184674852240635,184674852240817,182,2.3912087912087916,1.4065934065934067
300,310,1,256,0.512,256,0.512,281144213761986,281144213762168,182,2.3912087912087916,1.4065934065934067
300,320,1,256,0.512,256,0.512,200891550266823,200891550267006,183,2.3781420765027326,1.3989071038251366
300,330,1,256,0.512,256,0.512,200109890862593,200109890862776,183,2.3781420765027326,1.3989071038251366
300,340,1,256,0.512,256,0.512,275959684562183,275959684562367,184,2.365217391304348,1.391304347826087
300,350,1,256,0.512,256,0.512,202301375641011,202301375641195,184,2.365217391304348,1.391304347826087
300,360,1,256,0.512,256,0.512,202009487206898,202009487207080,182,2.3912087912087916,1.4065934065934067
300,370,1,256,0.512,256,0.512,199788825801968,199788825802151,183,2.3781420765027326,1.3989071038251366
300,380,1,256,0.512,256,0.512,270365870850050,270365870850232,182,2.3912087912087916,1.4065934065934067
300,390,1,256,0.512,256,0.512,200046441136126,200046441136309,183,2.3781420765027326,1.3989071038251366
300,400,1,256,0.512,256,0.512,251787994264582,251787994264767,185,2.352432432432433,1.3837837837837839
300,410,1,256,0.512,256,0.512,85748474312922,85748474313105,183,2.3781420765027326,1.3989071038251366
300,420,1,256,0.512,256,0.512,140707356146430,140707356146613,183,2.3781420765027326,1.3989071038251366
300,430,1,256,0.512,256,0.512,119288010242938,119288010243122,184,2.365217391304348,1.391304347826087
300,440,1,256,0.512,256,0.512,202267017489660,202267017489843,183,2.3781420765027326,1.3989071038251366
300,450,1,256,0.512,256,0.512,199002980481535,199002980481718,183,2.3781420765027326,1.3989071038251366
310,300,1,256,0.512,256,0.512,279230821036037,279230821036220,183,2.3781420765027326,1.3989071038251366
310,310,1,256,0.512,256,0.512,140050150654207,140050150654389,182,2.3912087912087916,1.4065934065934067
310,320,1,256,0.512,256,0.512,274839083541182,274839083541366,184,2.365217391304348,1.391304347826087
310,330,1,256,0.512,256,0.512,252810128387522,252810128387704,182,2.3912087912087916,1.4065934065934067
310,340,1,256,0.512,256,0.512,270844544612102,270844544612285,183,2.3781420765027326,1.3989071038251366
310,350,1,256,0.512,256,0.512,268168781606856,268168781607039,183,2.3781420765027326,1.3989071038251366
310,360,1,256,0.512,256,0.512,275977401594859,275977401595042,183,2.3781420765027326,1.3989071038251366
310,370,1,256,0.512,256,0.512,241303540691944,241303540692127,183,2.3781420765027326,1.3989071038251366
310,380,1,256,0.512,256,0.512,130824619644667,130824619644850,183,2.3781420765027326,1.3989071038251366
310,390,1,256,0.512,256,0.512,139611418287111,139611418287293,182,2.3912087912087916,1.4065934065934067
310,400,1,256,0.512,256,0.512,239687066745609,239687066745791,182,2.3912087912087916,1.4065934065934067
310,410,1,256,0.512,256,0.512,272665830077694,272665830077877,183,2.3781420765027326,1.3989071038251366
310,420,1,256,0.512,256,0.512,267022325445354,267022325445537,183,2.3781420765027326,1.3989071038251366
310,430,1,256,0.512,256,0.512,278630600851461,278630600851645,184,2.365217391304348,1.391304347826087
310,440,1,256,0.512,256,0.512,267139909677407,267139909677589,182,2.3912087912087916,1.4065934065934067
310,450,1,256,0.512,256,0.512,186916959678390,186916959678573,183,2.3781420765027326,1.3989071038251366
320,300,1,256,0.512,256,0.512,270161932058622,270161932058805,183,2.3781420765027326,1.3989071038251366
320,310,1,256,0.512,256,0.512,281368671550472,281368671550655,183,2.3781420765027326,1.3989071038251366
320,320,1,256,0.512,256,0.512,281439341247944,281439341248126,182,2.3912087912087916,1.4065934065934067
320,330,1,256,0.512,256,0.512,272597093051322,272597093051505,183,2.3781420765027326,1.3989071038251366
320,340,1,256,0.512,256,0.512,200046673131460,200046673131644,184,2.365217391304348,1.391304347826087
320,350,1,256,0.512,256,0.512,255003694967740,255003694967924,184,2.365217391304348,1.391304347826087
320,360,1,256,0.512,256,0.512,202059919259372,202059919259555,183,2.3781420765027326,1.3989071038251366
320,370,1,256,0.512,256,0.512,200050830864580,200050830864763,183,2.3781420765027326,1.3989071038251366
320,380,1,256,0.512,256,0.512,279258739374088,279258739374270,182,2.3912087912087916,1.4065934065934067
320,390,1,256,0.512,256,0.512,269277028809217,269277028809400,183,2.3781420765027326,1.3989071038251366
320,400,1,256,0.512,256,0.512,119838158990835,119838158991018,183,2.3781420765027326,1.3989071038251366
320,410,1,256,0.512,256,0.512,268229129075714,268229129075898,184,2.365217391304348,1.391304347826087
320,420,1,256,0.512,256,0.512,270401443587265,270401443587449,184,2.365217391304348,1.391304347826087
320,430,1,256,0.512,256,0.512,275790545223395,275790545223579,184,2.365217391304348,1.391304347826087
320,440,1,256,0.512,256,0.512,159428677728772,159428677728955,183,2.3781420765027326,1.3989071038251366
320,450,1,256,0.512,256,0.512,270471102201403,270471102201585,182,2.3912087912087916,1.4065934065934067
330,300,1,256,0.512,256,0.512,280246280381419,280246280381601,182,2.3912087912087916,1.4065934065934067
330,310,1,256,0.512,256,0.512,200076449407482,200076449407664,182,2.3912087912087916,1.4065934065934067
330,320,1,256,0.512,256,0.512,274774323754480,274774323754663,183,2.3781420765027326,1.3989071038251366
330,330,1,256,0.512,256,0.512,266073189515002,266073189515184,182,2.3912087912087916,1.4065934065934067
330,340,1,256,0.512,256,0.512,271231462406846,271231462407029,183,2.3781420765027326,1.3989071038251366
330,350,1,256,0.512,256,0.512,139612190046461,139612190046643,182,2.3912087912087916,1.4065934065934067
330,360,1,256,0.512,256,0.512,197834749313022,197834749313206,184,2.365217391304348,1.391304347826087
330,370,1,256,0.512,256,0.512,202283932973306,202283932973489,183,2.3781420765027326,1.3989071038251366
330,380,1,256,0.512,256,0.512,97843029049347,97843029049530,183,2.3781420765027326,1.3989071038251366
330,390,1,256,0.512,256,0.512,259463185169117,259463185169300,183,2.3781420765027326,1.3989071038251366
330,400,1,256,0.512,256,0.512,238452204632835,238452204633018,183,2.3781420765027326,1.3989071038251366
330,410,1,256,0.512,256,0.512,195704479543745,195704479543929,184,2.365217391304348,1.391304347826087
330,420,1,256,0.512,256,0.512,273656788877232,273656788877414,182,2.3912087912087916,1.4065934065934067
330,430,1,256,0.512,256,0.512,267692418005380,267692418005564,184,2.365217391304348,1.391304347826087
330,440,1,256,0.512,256,0.512,267159311407580,267159311407763,183,2.3781420765027326,1.3989071038251366
330,450,1,256,0.512,256,0.512,279150945550264,279150945550447,183,2.3781420765027326,1.3989071038251366
340,300,1,256,0.512,256,0.512,270419696591110,270419696591292,182,2.3912087912087916,1.4065934065934067
340,310,1,256,0.512,256,0.512,135214118427387,135214118427571,184,2.365217391304348,1.391304347826087
340,320,1,256,0.512,256,0.512,270436473826283,270436473826465,182,2.3912087912087916,1.4065934065934067
340,330,1,256,0.512,256,0.512,240760817024003,240760817024186,183,2.3781420765027326,1.3989071038251366
340,340,1,256,0.512,256,0.512,134118884176635,134118884176817,182,2.3912087912087916,1.4065934065934067
340,350,1,256,0.512,256,0.512,275959701566456,275959701566641,185,2.352432432432433,1.3837837837837839
340,360,1,256,0.512,256,0.512,270470179059198,270470179059381,183,2.3781420765027326,1.3989071038251366
340,370,1,256,0.512,256,0.512,274568618308871,274568618309054,183,2.3781420765027326,1.3989071038251366
340,380,1,256,0.512,256,0.512,104981251676410,104981251676593,183,2.3781420765027326,1.3989071038251366
340,390,1,256,0.512,256,0.512,272618317266368,272618317266551,183,2.3781420765027326,1.3989071038251366
340,400,1,256,0.512,256,0.512,254983449083335,254983449083518,183,2.3781420765027326,1.3989071038251366
340,410,1,256,0.512,256,0.512,275960153964519,275960153964703,184,2.365217391304348,1.391304347826087
340,420,1,256,0.512,256,0.512,280098955361738,280098955361923,185,2.352432432432433,1.3837837837837839
340,430,1,256,0.512,256,0.512,244070088963678,244070088963862,184,2.365217391304348,1.391304347826087
340,440,1,256,0.512,256,0.512,208907174786570,208907174786753,183,2.3781420765027326,1.3989071038251366
340,450,1,256,0.512,256,0.512,278034691109896,278034691110079,183,2.3781420765027326,1.3989071038251366
350,300,1,256,0.512,256,0.512,280639545342022,280639545342205,183,2.3781420765027326,1.3989071038251366
350,310,1,256,0.512,256,0.512,280089807388026,280089807388209,183,2.3781420765027326,1.3989071038251366
350,320,1,256,0.512,256,0.512,281363121349890,281363121350073,183,2.3781420765027326,1.3989071038251366
350,330,1,256,0.512,256,0.512,133590041558793,133590041558976,183,2.3781420765027326,1.3989071038251366
350,340,1,256,0.512,256,0.512,278704705666788,278704705666973,185,2.352432432432433,1.3837837837837839
