PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,9,75046,75037,0.005799805429321536,0.0034116502525420793
1,1,1,1280,2.56,1280,2.56,9,335784,335775,0.0064805301168937525,0.003812076539349267
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,9,596489,596480,0.006566523605150216,0.0038626609442060085
1,1,1,3328,6.656000000000001,3328,6.656000000000001,9,857187,857178,0.006600262722561709,0.0038825074838598284
1,1,1,4352,8.704,4352,8.704,9,1117884,1117875,0.006618271273621828,0.00389310074918931
1,1,1,5376,10.752,5376,10.752,9,1378583,1378574,0.00662945913676016,0.003899681845153035
1,1,1,6400,12.8,6400,12.8,9,1639280,1639271,0.006637096611847583,0.003904174477557402
1,1,1,7424,14.848,7424,14.848,9,1899978,1899969,0.006642634695618719,0.003907432173893364
1,1,1,8448,16.896,8448,16.896,9,2160675,2160666,0.006646839446726148,0.0039099055568977345
1,1,1,9472,18.944,9472,18.944,9,2421373,2421364,0.006650136039025938,0.0039118447288387865
