PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,9,1281,1272,0.34213836477987425,0.20125786163522014
1,1,1,1280,2.56,1280,2.56,9,4707,4698,0.4631758194976586,0.2724563644103874
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,9,8138,8129,0.48183048345429946,0.2834296961495879
1,1,1,3328,6.656000000000001,3328,6.656000000000001,9,11570,11561,0.4893694317100597,0.28786437159415273
1,1,1,4352,8.704,4352,8.704,9,15002,14993,0.4934569465750684,0.2902687921029814
1,1,1,5376,10.752,5376,10.752,9,18434,18425,0.49602170963365,0.2917774762550882
1,1,1,6400,12.8,6400,12.8,9,21865,21856,0.4978038067349927,0.29282576866764276
1,1,1,7424,14.848,7424,14.848,9,25296,25287,0.49910230553248713,0.29358959148969827
1,1,1,8448,16.896,8448,16.896,9,28729,28720,0.5000557103064067,0.29415041782729806
1,1,1,9472,18.944,9472,18.944,9,32159,32150,0.5008522550544323,0.2946189735614308
