cmaddr,width,height,size,stride,min_cycles,max_cycles,mem_access_total,bw,scale_bw,flop_total,flops_sec,scale_flops_sec,walltime
,1,1,256,1,74,74,1024.0,1.176216216216216e-05,8.76869189189189,256,2.94054054054054e-06,2.1921729729729726,1.8830151557922363
,1,1,512,1,138,138,2048.0,1.261449275362319e-05,9.404104347826088,512,3.1536231884057974e-06,2.351026086956522,3.2702105045318604
,1,1,768,1,202,202,3072.0,1.2926732673267327e-05,9.636879207920792,768,3.2316831683168317e-06,2.409219801980198,4.858524322509766
,1,1,1024,1,266,266,4096.0,1.3088721804511278e-05,9.757642105263157,1024,3.2721804511278195e-06,2.4394105263157893,6.412445306777954
,1,1,1280,1,330,330,5120.0,1.3187878787878788e-05,9.831563636363637,1280,3.296969696969697e-06,2.457890909090909,7.83923864364624
,1,1,1536,1,394,394,6144.0,1.325482233502538e-05,9.881470050761422,1536,3.313705583756345e-06,2.4703675126903555,9.339035272598267
,1,1,1792,1,458,458,7168.0,1.3303056768558952e-05,9.9174288209607,1792,3.325764192139738e-06,2.479357205240175,10.700992107391357
,1,1,2048,1,522,522,8192.0,1.3339463601532567e-05,9.944570114942529,2048,3.334865900383142e-06,2.4861425287356322,12.451941967010498
,1,1,2304,1,586,586,9216.0,1.3367918088737201e-05,9.965782935153584,2304,3.3419795221843004e-06,2.491445733788396,13.541957378387451
,1,1,2560,1,650,650,10240.0,1.339076923076923e-05,9.98281846153846,2560,3.3476923076923074e-06,2.495704615384615,14.979639291763306
,1,1,2816,1,714,714,11264.0,1.340952380952381e-05,9.9968,2816,3.3523809523809525e-06,2.4992,16.54789161682129
,1,1,3072,1,778,778,12288.0,1.3425192802056554e-05,10.00848123393316,3072,3.3562982005141386e-06,2.50212030848329,18.150163888931274
,1,1,3328,1,842,842,13312.0,1.3438479809976246e-05,10.018386698337292,3328,3.3596199524940616e-06,2.504596674584323,19.49172282218933
,1,1,3584,1,906,906,14336.0,1.3449889624724063e-05,10.026892715231789,3584,3.3624724061810157e-06,2.506723178807947,20.860838174819946
,1,1,3840,1,970,970,15360.0,1.3459793814432989e-05,10.034276288659793,3840,3.3649484536082472e-06,2.5085690721649483,22.257166862487793
,1,1,4096,1,1034,1034,16384.0,1.3468471953578337e-05,10.040745841392651,4096,3.3671179883945843e-06,2.5101864603481627,23.9044029712677
