PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,9,721,712,0.6112359550561798,0.3595505617977528
1,1,1,1280,2.56,1280,2.56,9,3281,3272,0.665036674816626,0.39119804400978
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,9,5841,5832,0.6716049382716051,0.3950617283950617
1,1,1,3328,6.656000000000001,3328,6.656000000000001,9,8401,8392,0.6741658722592946,0.3965681601525262
1,1,1,4352,8.704,4352,8.704,9,10961,10952,0.6755295836376918,0.3973703433162893
1,1,1,5376,10.752,5376,10.752,9,13521,13512,0.6763765541740675,0.3978685612788632
1,1,1,6400,12.8,6400,12.8,9,16081,16072,0.6769537083125934,0.3982080637132902
1,1,1,7424,14.848,7424,14.848,9,18641,18632,0.6773722627737225,0.3984542722198368
1,1,1,8448,16.896,8448,16.896,9,21201,21192,0.6776896942242355,0.3986409966024915
1,1,1,9472,18.944,9472,18.944,9,23761,23752,0.6779386998989558,0.3987874705287976
