PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,9,8605,8596,0.05062819916240112,0.029781293624941835
1,1,1,1280,2.56,1280,2.56,9,34761,34752,0.06261510128913444,0.03683241252302026
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,9,60835,60826,0.06439351593068754,0.037878538782757376
1,1,1,3328,6.656000000000001,3328,6.656000000000001,9,86905,86896,0.06510771496961885,0.03829865586448168
1,1,1,4352,8.704,4352,8.704,9,112975,112966,0.06549227201104757,0.03852486588885151
1,1,1,5376,10.752,5376,10.752,9,139046,139037,0.06573214324244625,0.03866596661320368
1,1,1,6400,12.8,6400,12.8,9,165116,165107,0.06589666095320006,0.0387627417371765
1,1,1,7424,14.848,7424,14.848,9,191186,191177,0.06601630949329679,0.038833123231351054
1,1,1,8448,16.896,8448,16.896,9,217256,217247,0.06610724198723113,0.03888661293366537
1,1,1,9472,18.944,9472,18.944,9,243326,243317,0.06617868870650222,0.03892864041558954
