PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
1,1,1,256,0.512,256,0.512,9,9204,9195,0.04733007069059272,0.027841218053289832
1,1,1,1280,2.56,1280,2.56,9,43498,43489,0.05003564119662443,0.029432730115661433
1,1,1,2304,4.6080000000000005,2304,4.6080000000000005,9,77827,77818,0.05033282788043897,0.029607545812022924
1,1,1,3328,6.656000000000001,3328,6.656000000000001,9,112145,112136,0.05045302133124063,0.029678247841906258
1,1,1,4352,8.704,4352,8.704,9,146457,146448,0.0505189555337048,0.029717032666885173
1,1,1,5376,10.752,5376,10.752,9,180764,180755,0.05056125695001521,0.029741915852950124
1,1,1,6400,12.8,6400,12.8,9,215077,215068,0.05058865103130173,0.02975803001841278
1,1,1,7424,14.848,7424,14.848,9,249398,249389,0.05060688322259603,0.02976875483682119
1,1,1,8448,16.896,8448,16.896,9,283711,283702,0.050622131673375585,0.029777724513750343
1,1,1,9472,18.944,9472,18.944,9,318020,318011,0.05063472647172582,0.029785133218662246
