cmaddr,width,height,size,stride,min_cycles,max_cycles,mem_access_total,bw,scale_bw,flop_total,flops_sec,scale_flops_sec,walltime
,1,1,128,1,139,139,1024.0,6.261870503597122e-06,4.668224460431655,128,7.827338129496403e-07,0.5835280575539569,2.266375780105591
,1,1,256,1,267,267,2048.0,6.519850187265917e-06,4.860548314606741,256,8.149812734082397e-07,0.6075685393258426,3.7144813537597656
,1,1,384,1,395,395,3072.0,6.6106329113924045e-06,4.928226835443038,384,8.263291139240506e-07,0.6160283544303797,5.4926018714904785
,1,1,512,1,523,523,4096.0,6.656978967495219e-06,4.962777820267686,512,8.321223709369024e-07,0.6203472275334607,6.869330644607544
,1,1,640,1,651,651,5120.0,6.685099846390168e-06,4.98374193548387,640,8.35637480798771e-07,0.6229677419354838,8.93828010559082
,1,1,768,1,779,779,6144.0,6.703979460847241e-06,4.997816688061618,768,8.379974326059051e-07,0.6247270860077022,10.290669679641724
,1,1,896,1,907,907,7168.0,6.717530319735391e-06,5.0079188533627335,896,8.396912899669238e-07,0.6259898566703417,11.807517528533936
,1,1,1024,1,1035,1035,8192.0,6.727729468599033e-06,5.0155223188405795,1024,8.409661835748792e-07,0.6269402898550724,13.754781484603882
,1,1,1152,1,1163,1163,9216.0,6.735683576956147e-06,5.021452106620807,1152,8.419604471195184e-07,0.6276815133276009,15.930001497268677
,1,1,1280,1,1291,1291,10240.0,6.742060418280403e-06,5.026206041828041,1280,8.427575522850504e-07,0.6282757552285051,17.1762433052063
,1,1,1408,1,1419,1419,11264.0,6.747286821705426e-06,5.030102325581395,1408,8.434108527131783e-07,0.6287627906976744,18.67622208595276
,1,1,1536,1,1547,1547,12288.0,6.751648351648352e-06,5.0333538461538465,1536,8.43956043956044e-07,0.6291692307692308,20.568180322647095
,1,1,1664,1,1675,1675,13312.0,6.7553432835820894e-06,5.036108417910448,1664,8.444179104477612e-07,0.629513552238806,22.425614833831787
,1,1,1792,1,1803,1803,14336.0,6.758513588463672e-06,5.038471880199667,1792,8.44814198557959e-07,0.6298089850249584,24.203198194503784
,1,1,1920,1,1931,1931,15360.0,6.761263593992749e-06,5.040522009321594,1920,8.451579492490937e-07,0.6300652511651993,25.155294179916382
,1,1,2048,1,2059,2059,16384.0,6.763671685284118e-06,5.04231724137931,2048,8.454589606605148e-07,0.6302896551724138,26.818881511688232
