cmaddr,width,height,size,stride,min_cycles,max_cycles,mem_access_total,bw,scale_bw,flop_total,flops_sec,scale_flops_sec,walltime
,1,1,128,1,140,140,1536.0,9.325714285714287e-06,6.952320000000001,256,1.5542857142857143e-06,1.15872,2.146209955215454
,1,1,256,1,268,268,3072.0,9.743283582089551e-06,7.263617910447761,512,1.6238805970149254e-06,1.210602985074627,4.004684686660767
,1,1,384,1,396,396,4608.0,9.89090909090909e-06,7.3736727272727265,768,1.6484848484848485e-06,1.2289454545454546,5.694854021072388
,1,1,512,1,524,524,6144.0,9.96641221374046e-06,7.429960305343513,1024,1.6610687022900764e-06,1.2383267175572519,7.563159704208374
,1,1,640,1,652,652,7680.0,1.0012269938650307e-05,7.464147239263804,1280,1.6687116564417179e-06,1.2440245398773007,9.774537324905396
,1,1,768,1,780,780,9216.0,1.0043076923076924e-05,7.4871138461538465,1536,1.6738461538461537e-06,1.2478523076923076,11.54637861251831
,1,1,896,1,908,908,10752.0,1.0065198237885462e-05,7.503605286343612,1792,1.6775330396475771e-06,1.2506008810572689,13.192352294921875
,1,1,1024,1,1036,1036,12288.0,1.0081853281853282e-05,7.516021621621621,2048,1.6803088803088804e-06,1.2526702702702703,14.743773460388184
,1,1,1152,1,1164,1164,13824.0,1.0094845360824741e-05,7.525707216494845,2304,1.6824742268041236e-06,1.2542845360824741,16.770581007003784
,1,1,1280,1,1292,1292,15360.0,1.0105263157894738e-05,7.533473684210527,2560,1.6842105263157895e-06,1.2555789473684211,18.83439350128174
,1,1,1408,1,1420,1420,16896.0,1.0113802816901407e-05,7.539839999999999,2816,1.6856338028169015e-06,1.25664,20.48978018760681
,1,1,1536,1,1548,1548,18432.0,1.012093023255814e-05,7.545153488372093,3072,1.6868217054263565e-06,1.2575255813953488,21.89490818977356
,1,1,1664,1,1676,1676,19968.0,1.0126968973747017e-05,7.549655369928401,3328,1.6878281622911693e-06,1.2582758949880668,23.590915203094482
,1,1,1792,1,1804,1804,21504.0,1.0132150776053215e-05,7.553518403547672,3584,1.6886917960088692e-06,1.258919733924612,25.65702509880066
,1,1,1920,1,1932,1932,23040.0,1.0136645962732918e-05,7.556869565217391,3840,1.6894409937888198e-06,1.2594782608695652,27.597294092178345
,1,1,2048,1,2060,2060,24576.0,1.0140582524271846e-05,7.559804271844661,4096,1.690097087378641e-06,1.2599673786407768,29.197859525680542
